Frame,Visibility,X,Y
741,1,930,487
742,1,922,483
743,1,918,483
744,1,911,487
745,1,907,491
746,1,903,495
747,1,900,498
748,1,892,498
749,1,888,498
750,1,885,502
751,1,877,513
752,1,873,521
753,1,870,528
754,1,862,536
755,1,855,551
756,1,858,536
757,1,862,513
758,1,866,506
759,0,-1,-1
760,1,877,476
761,0,-1,-1
762,1,892,442
763,1,900,431
764,1,900,423
765,1,911,408
766,1,915,401
767,1,918,393
768,1,926,382
769,1,930,371
770,1,937,367
771,1,945,360
772,1,952,352
773,1,960,345
774,1,963,341
775,1,971,337
776,1,978,333
777,1,982,330
778,1,986,330
779,1,993,330
780,1,997,330
781,1,1005,330
782,1,1008,333
783,1,1020,333
784,1,1023,337
785,1,1031,341
786,1,1035,345
787,1,1038,348
788,1,1042,352
789,1,1046,356
790,1,1053,363
791,1,1057,375
792,1,1065,382
793,1,1068,390
794,1,1072,397
795,1,1080,408
796,1,1083,423
797,1,1087,431
798,1,1091,442
799,1,1098,457
800,1,1102,468
801,0,-1,-1
802,0,-1,-1
803,0,-1,-1
804,1,1106,487
805,1,1102,483
806,1,1098,480
807,1,1098,468
808,1,1091,465
809,1,1083,457
810,1,1083,453
811,1,1076,450
812,1,1072,446
813,1,1065,446
814,1,1061,446
815,1,1053,442
816,1,1050,442
817,1,1042,442
818,1,1035,446
819,1,1027,453
820,1,1020,457
821,1,1016,461
822,1,1005,465
823,0,-1,-1
824,0,-1,-1
825,1,1001,431
826,0,-1,-1
827,1,1001,397
828,1,1005,386
829,1,1005,371
830,1,1008,360
831,1,1008,345
832,1,1012,333
833,1,1012,326
834,1,1012,315
835,1,1012,307
836,1,1012,300
837,1,1020,296
838,1,1023,292
839,1,1023,292
840,1,1023,292
841,1,1023,292
842,1,1023,292
843,1,1027,296
844,1,1031,296
845,1,1035,296
846,1,1035,300
847,1,1035,307
848,1,1035,311
849,1,1035,318
850,1,1035,322
851,1,1038,333
852,1,1038,345
853,1,1046,356
854,1,1046,367
855,1,1042,378
856,1,1042,390
857,1,1042,401
858,1,1042,416
859,1,1046,431
860,1,1042,442
861,1,1046,461
862,1,1046,476
863,1,1046,495
864,1,1046,510
865,1,1042,525
866,1,1038,528
867,0,-1,-1
868,1,1020,506
869,0,-1,-1
870,1,990,465
871,1,982,457
872,1,975,446
873,1,960,431
874,1,945,416
875,1,937,408
876,1,922,397
877,1,915,393
878,1,907,390
879,1,892,378
880,1,885,375
881,1,870,371
882,1,862,367
883,1,851,363
884,1,843,363
885,1,828,363
886,1,821,363
887,1,810,363
888,1,798,367
889,1,791,367
890,0,-1,-1
891,0,-1,-1
892,0,-1,-1
893,0,-1,-1
894,0,-1,-1
895,0,-1,-1
896,0,-1,-1
897,1,712,420
898,1,705,431
899,1,701,438
900,1,690,453
901,1,686,461
902,1,678,468
903,1,671,480
904,1,667,480
905,1,656,476
906,1,652,476
907,1,645,476
908,1,637,472
909,1,630,476
910,1,618,472
911,1,611,472
912,1,603,476
913,1,596,476
914,1,585,483
915,1,577,487
916,1,570,495
917,1,562,506
918,1,555,510
919,1,547,517
920,1,536,532
921,0,-1,-1
922,0,-1,-1
923,1,513,562
924,0,-1,-1
925,1,495,581
926,0,-1,-1
927,0,-1,-1
928,1,506,525
929,1,510,506
930,1,513,483
931,1,513,476
932,1,517,465
933,1,521,453
934,1,525,442
935,1,528,431
936,1,528,423
937,1,532,420
938,1,532,416
939,1,536,412
940,1,536,408
941,1,540,412
942,1,540,408
943,1,543,408
944,1,547,405
945,1,547,405
946,1,547,408
947,1,551,412
948,1,551,416
949,1,555,420
950,1,487,603
951,1,480,592
952,1,476,585
953,1,558,438
954,1,558,446
955,1,562,453
956,1,562,461
957,1,562,468
958,1,562,476
959,1,566,487
960,1,570,498
961,1,570,510
962,1,566,521
963,1,570,536
964,1,573,547
965,1,573,551
966,0,-1,-1
967,1,577,581
968,1,573,588
969,1,476,645
970,1,476,652
971,1,480,660
972,0,-1,-1
973,0,-1,-1
974,0,-1,-1
975,0,-1,-1
976,0,-1,-1
977,0,-1,-1
978,0,-1,-1
979,0,-1,-1
980,0,-1,-1
981,0,-1,-1
982,0,-1,-1
983,0,-1,-1
984,0,-1,-1
985,0,-1,-1
986,0,-1,-1
987,0,-1,-1
988,0,-1,-1
989,0,-1,-1
990,0,-1,-1
